doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_rich,textstring_base,textstring_simple
brunfels_apodixis_1531,head,0,0,False,183,¶ HIERONYMI herbarij Argentorat.,hieronymi herbarij argentorat.,hieronymi herbarii argentorat
brunfels_apodixis_1531,head,0,1,True,183,"APODIXIS Germanica, ex qua facile uulgares herbas omnes licebit perdiscere, coacta in seriem Alphabeticam.","apodixis germanica, ex qua facile uulgares herbas omnes licebit perdiscere, coacta in seriem alphabeticam.",apodixis germanica ex qua facile uulgares herbas omnes licebit perdiscere coacta in seriem alphabeticam
brunfels_apodixis_1531,head,1,0,False,183,¶ Andorn.,andorn.,andorn
brunfels_apodixis_1531,head,1,1,True,183,Marribium.,marribium.,marribium
brunfels_apodixis_1531,body,2,0,False,183,ANdorn von den Kriechen Philoflores genant/ vñ in Latin Marrubium/ oder Prassium/ nach etlichem teütschen Andorn/ darumb das es heylẽ ist die kranckheit der kinder genant der Andorn/ aber in niderlendischer sprach/ Gotts vergeß. vñ ist zweyerley geschlecht/ maͤñlichs/ vñ weyblichs.,andorn von den kriechen philoflores genant/ vñ in latin marrubium/ oder prassium/ nach etlichem teütschen andorn/ darumb das es heylẽ ist die kranckheit der kinder genant der andorn/ aber in niderlendischer sprach/ gotts vergeß. vñ ist zweyerley geschlecht/ mäñlichs/ vñ weyblichs.,andorn uon den kriechen philoflores genant und in latin marrubium oder prassium nach etlichem teutschen andorn darumb das es heylen ist die kranckheit der kinder genant der andorn aber in niderlendischer sprach gotts uergess und ist zweyerley geschlecht mannlichs und weyblichs
brunfels_apodixis_1531,body,2,1,False,183,Das maͤñlin brun/ schwarz far/ ist gleich den grosszen Neßlen mit einem hohen viereckechten stengel/ zweyer ellenbogen hoch/ die bletter gleich den Neßlen/ dann das sye schwertzer in der gruͤnen farben seind.,das mäñlin brun/ schwarz far/ ist gleich den grosszen neßlen mit einem hohen viereckechten stengel/ zweyer ellenbogen hoch/ die bletter gleich den neßlen/ dann das sye schwertzer in der grünen farben seind.,das mannlin brun schwarz far ist gleich den grosszen nesslen mit einem hohen uiereckechten stengel zweyer ellenbogen hoch die bletter gleich den nesslen dann das sye schwertzer in der grunen farben seind
brunfels_apodixis_1531,body,2,2,False,183,Des weiblins bletter rund/ krusecht/ bleych/ mit einem weissen ronden stengel/ eins ellenbogen hoch.,des weiblins bletter rund/ krusecht/ bleych/ mit einem weissen ronden stengel/ eins ellenbogen hoch.,des weiblins bletter rund krusecht bleych mit einem weissen ronden stengel eins ellenbogen hoch
brunfels_apodixis_1531,body,2,3,False,183,Wann funden würt Andorn/ oder Gotz vergeß on zuͦsatz/ so soll genum̃en werden das weiblin.,wann funden würt andorn/ oder gotz vergeß on zusatz/ so soll genum̃en werden das weiblin.,wann funden wurt andorn oder gotz uergess on zusatz so soll genummen werden das weiblin
brunfels_apodixis_1531,body,2,4,True,183,Aber in warheit vast nutz/ wenn das maͤñlin gebrucht würt dem mañ/ vnd das weiblin der frawen.,aber in warheit vast nutz/ wenn das mäñlin gebrucht würt dem mañ/ vnd das weiblin der frawen.,aber in warheit uast nutz wenn das mannlin gebrucht wurt dem mann und das weiblin der frawen
brunfels_apodixis_1531,head,3,0,False,183,¶ Ampffer.,ampffer.,ampffer
brunfels_apodixis_1531,head,3,1,True,183,Acetosa.,acetosa.,acetosa
brunfels_apodixis_1531,body,4,0,False,183,Ampffer in Latin Acetosa/ vñ in teütschem saur Ampffer/ darum̃ das er saur ist/ auch in vnderscheit des wilden ampffers/ in teütschem Mengel wurtzel gnant.,ampffer in latin acetosa/ vñ in teütschem saur ampffer/ darum̃ das er saur ist/ auch in vnderscheit des wilden ampffers/ in teütschem mengel wurtzel gnant.,ampffer in latin acetosa und in teutschem saur ampffer darumm das er saur ist auch in underscheit des wilden ampffers in teutschem mengel wurtzel gnant
brunfels_apodixis_1531,body,4,1,False,183,Des krauts Ampffer ist dreyer hand.,des krauts ampffer ist dreyer hand.,des krauts ampffer ist dreyer hand
brunfels_apodixis_1531,body,4,2,False,183,Einer mit einẽ hohen stengel vff anderhalbẽ ellẽbogen hoch/ mit kleinen rotfarbluͤmlin/ nahe wie eins kleins breyts saͤmlin/ wachßet vff den matten oder wisen/ von dem ich hie schreib.,einer mit einẽ hohen stengel vff anderhalbẽ ellẽbogen hoch/ mit kleinen rotfarblümlin/ nahe wie eins kleins breyts sämlin/ wachßet vff den matten oder wisen/ von dem ich hie schreib.,einer mit einen hohen stengel uff anderhalben ellenbogen hoch mit kleinen rotfarblumlin nahe wie eins kleins breyts samlin wachsset uff den matten oder wisen uon dem ich hie schreib
brunfels_apodixis_1531,body,4,3,False,183,Der anđ mit breyten rotfarben bletteren/ genant Mengel wurtzel/ mit stenglen eins ellenbogen hoch.,der anđ mit breyten rotfarben bletteren/ genant mengel wurtzel/ mit stenglen eins ellenbogen hoch.,der ander mit breyten rotfarben bletteren genant mengel wurtzel mit stenglen eins ellenbogen hoch
brunfels_apodixis_1531,body,4,4,False,183,Der drit kaum einer spannen hoch/ mit bleychen gruͤnfarben blettern wie ein hertz oder klee/wachse tin den waͤlden/ oder hecken/ der in latinischen zungen Aleluia/ oder Panis Herculis/ vñ in teütschem Gauch ampffer.,der drit kaum einer spannen hoch/ mit bleychen grünfarben blettern wie ein hertz oder klee/wachse tin den wälden/ oder hecken/ der in latinischen zungen aleluia/ oder panis herculis/ vñ in teütschem gauch ampffer.,der drit kaum einer spannen hoch mit bleychen grunfarben blettern wie ein hertz oder klee wachse tin den walden oder hecken der in latinischen zungen aleluia oder panis herculis und in teutschem gauch ampffer
brunfels_apodixis_1531,body,4,5,True,183,Hye zuͦ verston von dem gemeynen sauren Ampffer/ Acetosa/ oder Acetosella/ nit der Gauch ampffer/ wie wol er auch saur ist.,hye zu verston von dem gemeynen sauren ampffer/ acetosa/ oder acetosella/ nit der gauch ampffer/ wie wol er auch saur ist.,hye zu uerston uon dem gemeynen sauren ampffer acetosa oder acetosella nit der gauch ampffer wie wol er auch saur ist
brunfels_apodixis_1531,head,5,0,False,183,¶ Mystel.,mystel.,mystel
brunfels_apodixis_1531,head,5,1,True,183,Viscus.,viscus.,uiscus
brunfels_apodixis_1531,body,6,0,False,183,Afolter Mystel/ von den Latinischen Viscus genannt/ hat gelblecht gruͤnfar bletter gleich dem buchßbaum/ doch lenger/ vñ schmeler.,afolter mystel/ von den latinischen viscus genannt/ hat gelblecht grünfar bletter gleich dem buchßbaum/ doch lenger/ vñ schmeler.,afolter mystel uon den latinischen uiscus genannt hat gelblecht grunfar bletter gleich dem buchssbaum doch lenger und schmeler
brunfels_apodixis_1531,body,6,1,True,183,Vnd das wasser soll gebrañt werden vß den weissen koͤrnlin die vff dem mystel wachßen.,vnd das wasser soll gebrañt werden vß den weissen körnlin die vff dem mystel wachßen.,und das wasser soll gebrannt werden uss den weissen kornlin die uff dem mystel wachssen
brunfels_apodixis_1531,head,7,0,False,183,¶ Attich.,attich.,attich
brunfels_apodixis_1531,head,7,1,True,183,Ebulus.,ebulus.,ebulus
brunfels_apodixis_1531,body,8,0,True,183,Jn Latein Ebulus/ mit eim hohen Stenngel/ doch nit holtzecht das er ist als der holder/ auch nit hoch wachßende.,jn latein ebulus/ mit eim hohen stenngel/ doch nit holtzecht das er ist als der holder/ auch nit hoch wachßende.,in latein ebulus mit eim hohen stenngel doch nit holtzecht das er ist als der holder auch nit hoch wachssende
brunfels_apodixis_1531,head,9,0,False,183,¶ Alantkraut.,alantkraut.,alantkraut
brunfels_apodixis_1531,head,9,1,True,183,Helenius.,helenius.,helenius
brunfels_apodixis_1531,body,10,0,False,183,Alantkrant von den Kriechischen Helenius genannt/ in Latein Enula campana/ von etlichen Alant/ darumb von der wurtzlẽ ein wol geschmackter wein gemacht/ würt Alantwein genant/ also das der wein im herbst darüber verjaͤrch ist.,alantkrant von den kriechischen helenius genannt/ in latein enula campana/ von etlichen alant/ darumb von der wurtzlẽ ein wol geschmackter wein gemacht/ würt alantwein genant/ also das der wein im herbst darüber verjärch ist.,alantkrant uon den kriechischen helenius genannt in latein enula campana uon etlichen alant darumb uon der wurtzlen ein wol geschmackter wein gemacht wurt alantwein genant also das der wein im herbst daruber ueriarch ist
brunfels_apodixis_1531,body,10,1,True,183,Uñ das kraut hat erwan ein harecht breit spitz blatt/ gleich dem kraut genant Wullh/ doch nit also weiß oder weych/ mit einer groben wolgeschmackenden wurtzel.,uñ das kraut hat erwan ein harecht breit spitz blatt/ gleich dem kraut genant wullh/ doch nit also weiß oder weych/ mit einer groben wolgeschmackenden wurtzel.,unn das kraut hat erwan ein harecht breit spitz blatt gleich dem kraut genant wullh doch nit also weiss oder weych mit einer groben wolgeschmackenden wurtzel
brunfels_apodixis_1531,head,11,0,False,183,¶ Adermeng.,adermeng.,adermeng
brunfels_apodixis_1531,head,11,1,True,183,Agrimonia.,agrimonia.,agrimonia
brunfels_apodixis_1531,body,12,0,False,183,Agrimonien/ in Latein mit gmeynem nam̃en Agrimonia/ oder Ferraria mindt/ von den teütschen Agrimenig/ oder Adermeng genant/ auch võ etlichen Bruchwurtzel/ darum̃/ das sye zuͦ den bruch soll breüchlich sein.,agrimonien/ in latein mit gmeynem nam̃en agrimonia/ oder ferraria mindt/ von den teütschen agrimenig/ oder adermeng genant/ auch võ etlichen bruchwurtzel/ darum̃/ das sye zu den bruch soll breüchlich sein.,agrimonien in latein mit gmeynem nammen agrimonia oder ferraria mindt uon den teutschen agrimenig oder adermeng genant auch uon etlichen bruchwurtzel darumm das sye zu den bruch soll breuchlich sein
brunfels_apodixis_1531,body,12,1,False,183,Aber in warheit so ist Walwurtz aller nechst dem nammen Bruch wurtz.,aber in warheit so ist walwurtz aller nechst dem nammen bruch wurtz.,aber in warheit so ist walwurtz aller nechst dem nammen bruch wurtz
brunfels_apodixis_1531,body,12,2,True,183,Das kraut Adermenig hat ein langen stengel/ vff zwen ellenbogen hoh/ mit kleinen gelben bluͤmlin/ darauß werden kleine Herlin die hangen an den kleideren so man dar für geen ist.,das kraut adermenig hat ein langen stengel/ vff zwen ellenbogen hoh/ mit kleinen gelben blümlin/ darauß werden kleine herlin die hangen an den kleideren so man dar für geen ist.,das kraut adermenig hat ein langen stengel uff zwen ellenbogen hoh mit kleinen gelben blumlin darauss werden kleine herlin die hangen an den kleideren so man dar fur geen ist
brunfels_apodixis_1531,head,13,0,False,183,¶ Agleyen.,agleyen.,agleyen
brunfels_apodixis_1531,head,13,1,True,183,Aquileia.,aquileia.,aquileia
brunfels_apodixis_1531,body,14,0,True,183,Jn Latein neñt man es Aquileia/ das ist ein kraut mit einem langen stengel/ anderhalben ellenbogen hoch/ das merer teil mit blawen bluͦmen/vnd etlich mit weissen bluͦmen.,jn latein neñt man es aquileia/ das ist ein kraut mit einem langen stengel/ anderhalben ellenbogen hoch/ das merer teil mit blawen blumen/vnd etlich mit weissen blumen.,in latein nennt man es aquileia das ist ein kraut mit einem langen stengel anderhalben ellenbogen hoch das merer teil mit blawen blumen und etlich mit weissen blumen
