doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kirchner_zeugnusse_1579,head,0,0,True,1,Zeugnusse vnd Aussage Von D. Jacobs Andree Einigkeit/ Wie er dieselbige anfenglich fürgenommen / vnnd fortgetrieben / Auch wie jhm darüber gelungen / vnnd was dauon zu halten sey. Außetlichen Theologen/vormals hieuon außgegangenen Schrifften/trewlich zusammen getragen / vnnd frommen Christen / so zuuor hieuon kein wissen gehabt / zu notwendiger erinnerung / vnnd weyterm nachdencken/wider gedruckt. M. D. LXXIX.,zeugnusse vnd aussage von d jacobs andree einigkeit wie er dieselbige anfenglich fürgenommen vnnd fortgetrieben auch wie jhm darüber gelungen vnnd was dauon zu halten sey außetlichen theologen vormals hieuon außgegangenen schrifften trewlich zusammen getragen vnnd frommen christen so zuuor hieuon kein wissen gehabt zu notwendiger erinnerung vnnd weyterm nachdencken wider gedruckt m d lxxix,zeugnusse und aussage uon d iacobs andree einigkeit wie er dieselbige anfenglich furgenommen unnd fortgetrieben auch wie ihm daruber gelungen unnd was dauon zu halten sey aussetlichen theologen uormals hieuon aussgegangenen schrifften trewlich zusammen getragen unnd frommen christen so zuuor hieuon kein wissen gehabt zu notwendiger erinnerung unnd weyterm nachdencken wider gedruckt m d lxxix
kirchner_zeugnusse_1579,head,1,0,True,1,Auß einer lateinischen Anno 1573. Zu Königsbergin Preussen gehaltenen / vnd daselbst gedruckten Oration / D. Tilimani Heßhusij.,auß einer lateinischen anno zu königsbergin preussen gehaltenen vnd daselbst gedruckten oration d tilimani heßhusij,auss einer lateinischen anno zu konigsbergin preussen gehaltenen und daselbst gedruckten oration d tilimani hesshusii
kirchner_zeugnusse_1579,body,2,0,False,1,DOctor Jacobus Andreae / ein Tübingischer Theologus / hat bey jhm selbst einen wahn geschöpfft / als hette er einen solchen weg vnd weyse erfunden / dadurch aller Streyt vnd Zanck / so zwischen den Kirchen vnd Lehrern der Augspurgischen Confession getrieben werden / hingelegt / vnd ein heylsamer vnd sanffter Friede angestelt / vnd bestettiget werden köndte.,doctor jacobus andreae ein tübingischer theologus hat bey jhm selbst einen wahn geschöpfft als hette er einen solchen weg vnd weyse erfunden dadurch aller streyt vnd zanck so zwischen den kirchen vnd lehrern der augspurgischen confession getrieben werden hingelegt vnd ein heylsamer vnd sanffter friede angestelt vnd bestettiget werden köndte,doctor iacobus andreae ein tubingischer theologus hat bey ihm selbst einen wahn geschopfft als hette er einen solchen weg und weyse erfunden dadurch aller streyt und zanck so zwischen den kirchen und lehrern der augspurgischen confession getrieben werden hingelegt und ein heylsamer und sanffter friede angestelt und bestettiget werden kondte
kirchner_zeugnusse_1579,body,2,1,False,1,Solchen seinen Raht / tregt er etlichen wenig Fürsten Teutsches Landes für / vnd bringt sie durch erhebung vnd verheissung deß aller lieblichsten Friedes / leichtlich auff seine meinung.,solchen seinen raht tregt er etlichen wenig fürsten teutsches landes für vnd bringt sie durch erhebung vnd verheissung deß aller lieblichsten friedes leichtlich auff seine meinung,solchen seinen raht tregt er etlichen wenig fursten teutsches landes fur und bringt sie durch erhebung und uerheissung dess aller lieblichsten friedes leichtlich auff seine meinung
kirchner_zeugnusse_1579,body,2,2,True,1,Nachmals nimpt er ein Räise für sich zu den fürnemmesten Fürsten / zu den berhümbtesten Vniuersiteten / vnd zu den namhafftesten Kirchen in gantz Teutsch Lande.,nachmals nimpt er ein räise für sich zu den fürnemmesten fürsten zu den berhümbtesten vniuersiteten vnd zu den namhafftesten kirchen in gantz teutsch lande,nachmals nimpt er ein raise fur sich zu den furnemmesten fursten zu den berhumbtesten uniuersiteten und zu den namhafftesten kirchen in gantz teutsch lande
kirchner_zeugnusse_1579,body,3,0,False,1,Auß dem Hertzogthumb Wirtenberg auß Schwaben / schweiffet dieser wunderbare Fried Prediger / vnd Außruffer vermeinter Einigkeit auß / ins Landt zu Pommern / biß an das Mitnechtische Meer / Rühmet allenthalben / er hab solche Mittel vnd Wege erfunden / dadurch alle Religion streyte köndte auffgehaben / vnd ein ewiger Fried angericht werden.,auß dem hertzogthumb wirtenberg auß schwaben schweiffet dieser wunderbare fried prediger vnd außruffer vermeinter einigkeit auß ins landt zu pommern biß an das mitnechtische meer rühmet allenthalben er hab solche mittel vnd wege erfunden dadurch alle religion streyte köndte auffgehaben vnd ein ewiger fried angericht werden,auss dem hertzogthumb wirtenberg auss schwaben schweiffet dieser wunderbare fried prediger und aussruffer uermeinter einigkeit auss ins landt zu pommern biss an das mitnechtische meer ruhmet allenthalben er hab solche mittel und wege erfunden dadurch alle religion streyte kondte auffgehaben und ein ewiger fried angericht werden
kirchner_zeugnusse_1579,body,3,1,True,1,Leget etliche von jm selbst gestelte Artickel / von den fürgefallenen Streyten für / welche er also gemessiget / das er dafür angesehen sein wolte / als hielte ers mit dem rechten Theyl / doch also / das er den gegentheyl nicht beleydigte.,leget etliche von jm selbst gestelte artickel von den fürgefallenen streyten für welche er also gemessiget das er dafür angesehen sein wolte als hielte ers mit dem rechten theyl doch also das er den gegentheyl nicht beleydigte,leget etliche uon im selbst gestelte artickel uon den furgefallenen streyten fur welche er also gemessiget das er dafur angesehen sein wolte als hielte ers mit dem rechten theyl doch also das er den gegentheyl nicht beleydigte
kirchner_zeugnusse_1579,body,4,0,True,1,Der inhalt solcher Artickel war dieser / das man alle Religion streyte mit stillschweigen hinlegen / vnd alles disputiern vnd zwitracht / so vnter denen / die sich zur Augspurgischen Confession bekennen / vber den allerhöchsten vnd fürnemsten Artickeln der lehre / entstanden vnnd getrieben worden / für ein lauter wort gezänck halten / vnnd gentzlich vertuschen solte / denn man were doch im fundament durchauß einig.,der inhalt solcher artickel war dieser das man alle religion streyte mit stillschweigen hinlegen vnd alles disputiern vnd zwitracht so vnter denen die sich zur augspurgischen confession bekennen vber den allerhöchsten vnd fürnemsten artickeln der lehre entstanden vnnd getrieben worden für ein lauter wort gezänck halten vnnd gentzlich vertuschen solte denn man were doch im fundament durchauß einig,der inhalt solcher artickel war dieser das man alle religion streyte mit stillschweigen hinlegen und alles disputiern und zwitracht so unter denen die sich zur augspurgischen confession bekennen uber den allerhochsten und furnemsten artickeln der lehre entstanden unnd getrieben worden fur ein lauter wort gezanck halten unnd gentzlich uertuschen solte denn man were doch im fundament durchauss einig
kirchner_zeugnusse_1579,body,5,0,True,3,Vnd zum zeugniß solches Consenß vnd Einhelligkeit / solte man allerseyts einem gemeinem Cothurno (vnrichtigen zweyffelhafftigen Buch) welchen er geschmidet / vnterschreiben / das all zu harte disputiern einstellen / vnd vnter einander einig vnnd friedsam sein.,vnd zum zeugniß solches consenß vnd einhelligkeit solte man allerseyts einem gemeinem cothurno vnrichtigen zweyffelhafftigen buch welchen er geschmidet vnterschreiben das all zu harte disputiern einstellen vnd vnter einander einig vnnd friedsam sein,und zum zeugniss solches consenss und einhelligkeit solte man allerseyts einem gemeinem cothurno unrichtigen zweyffelhafftigen buch welchen er geschmidet unterschreiben das all zu harte disputiern einstellen und unter einander einig unnd friedsam sein
kirchner_zeugnusse_1579,body,6,0,False,3,Mit dieser seiner Teuscherey oder Triegerey / hat er grosse Fürsten / auch weyse Rähte an viler Fürsten höfen / vnd berümbte Theologen bezaubert vnnd eingenommen.,mit dieser seiner teuscherey oder triegerey hat er grosse fürsten auch weyse rähte an viler fürsten höfen vnd berümbte theologen bezaubert vnnd eingenommen,mit dieser seiner teuscherey oder triegerey hat er grosse fursten auch weyse rahte an uiler fursten hofen und berumbte theologen bezaubert unnd eingenommen
